BSN;Bezirk;Schulart;Schule;Straße;PLZ;Ort;Adresse;Aktueller Status;Standort beauftragt? ;"Begehung durgeführt am:
[Datum]";"Tiefbau abgeschlossen am: 
[Datum]";"Aktive Technik 
verbaut 
am: 
[Datum]";"Anschluss nutzbar? 
[Ja / Nein]"
11G08;Lichtenberg;G;Robinson-Schule (Grundschule);Wönnichstr. 7;10317;Berlin;Wönnichstr. 7 10317 Berlin;Anschluss nutzbar;Ja;08.09.22;27.05.23;28.08.23;Ja
11G09;Lichtenberg;G;Bürgermeister-Ziethen-Schule (Grundschule);Massower Str. 39;10315;Berlin;Massower Str. 39 10315 Berlin;Anschluss nutzbar;Ja;08.08.22;06.06.23;28.08.23;Ja
11G10;Lichtenberg;G;Schule im Ostseekarree (Grundschule);Barther Str. 27;13051;Berlin;Barther Str. 27 13051 Berlin;Aktive Technik verbaut;Ja;02.09.22;19.09.23;11.10.23;Nein
12G01;Reinickendorf;G;Havelmüller-Grundschule;Namslaustr. 49-57;13507;Berlin;Namslaustr. 49-57 13507 Berlin;Begehung durchgeführt;Ja;17.08.22;;;Nein
12G02;Reinickendorf;G;Grundschule am Schäfersee;Baseler Str. 2-6;13407;Berlin;Baseler Str. 2-6 13407 Berlin;Anschluss nutzbar;Ja;03.08.22;13.09.23;26.01.24;Ja
12G03;Reinickendorf;G;Reginhard-Grundschule;Letteallee 39-41;13409;Berlin;Letteallee 39-41 13409 Berlin;Begehung durchgeführt;Ja;24.08.22;;;Nein
12G04;Reinickendorf;G;Till-Eulenspiegel-Grundschule;Humboldtstr. 8-13;13407;Berlin;Humboldtstr. 8-13 13407 Berlin;Aktive Technik in Planung;Ja;05.10.22;23.02.24;;Nein
12G05;Reinickendorf;G;Kolumbus-Grundschule;Büchsenweg 23 A;13409;Berlin;Büchsenweg 23 A 13409 Berlin;APL installiert;Ja;14.09.22;02.11.23;;Nein
12G06;Reinickendorf;G;Hausotter-Grundschule;Hausotterplatz 4;13409;Berlin;Hausotterplatz 4 13409 Berlin;Aktive Technik verbaut ohne IHVK;Ja;09.11.22;23.10.23;19.04.24;Nein
12G07;Reinickendorf;G;Mark-Twain-Grundschule;Auguste-Viktoria-Allee 95;13403;Berlin;Auguste-Viktoria-Allee 95 13403 Berlin;Aktive Technik in Planung;Ja;31.08.22;28.06.23;;Nein
12G09;Reinickendorf;G;Grundschule an der Peckwisch;Tornower Weg 26-34;13439;Berlin;Tornower Weg 26-34 13439 Berlin;Begehung durchgeführt;Ja;10.08.22;;;Nein
12G10;Reinickendorf;G;Peter-Witte-Grundschule;Rathauspromenade 75;13437;Berlin;Rathauspromenade 75 13437 Berlin;Anschluss nutzbar;Ja;17.08.22;12.07.23;22.01.24;Ja
12G11;Reinickendorf;G;Ringelnatz-Grundschule;Wilhelm-Gericke-Str. 7-13;13437;Berlin;Wilhelm-Gericke-Str. 7-13 13437 Berlin;Anschluss nutzbar;Ja;03.08.22;19.07.23;11.01.24;Ja
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
